楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
いーあるふぁんくらぶ,GRAVITY,16,EXCESSIVE COMPLETE,S,9909297,6,6,0,0
え？あぁ、そう。,EXHAUST,12,EXCESSIVE COMPLETE,S,9971815,1,1,0,0
OVERDRIVERS,EXHAUST,14,EXCESSIVE COMPLETE,S,9911470,25,21,0,0
GEROL,EXHAUST,16,EXCESSIVE COMPLETE,S,9919883,34,32,0,0
Sakura Reflection 音頭 -盆踊Remix-,EXHAUST,13,ULTIMATE CHAIN,S,9946550,2,2,1,0
Survival Games (Hommarju Remix),EXHAUST,13,EXCESSIVE COMPLETE,S,9932829,2,2,0,0
Joyeuse,ADVANCED,10,ULTIMATE CHAIN,AAA+,9885807,1,1,1,0
Joyeuse,EXHAUST,17,EXCESSIVE COMPLETE,AA,9419354,143,13,0,0
HΨ=世界創造=EΨ,EXHAUST,12,ULTIMATE CHAIN,S,9973743,1,1,1,0
つぶやき魔法少女りむる,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9827677,28,22,0,0
ネトゲ廃人シュプレヒコール,EXHAUST,13,EXCESSIVE COMPLETE,S,9944400,3,3,0,0
HAELEQUIN,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9726902,80,55,0,0
迷妄少年と小世界,EXHAUST,13,EXCESSIVE COMPLETE,S,9919886,2,2,0,0
殯,EXHAUST,13,EXCESSIVE COMPLETE,S,9958739,3,1,0,0
悪いところがひとつもない！,EXHAUST,14,EXCESSIVE COMPLETE,S,9905374,10,10,0,0
アルストロメリア KURO-HACO Remix,ADVANCED,10,COMPLETE,AA+,9536697,1,1,0,0
アルストロメリア KURO-HACO Remix,EXHAUST,15,ULTIMATE CHAIN,AAA+,9839615,37,37,1,0
C18H27NO3,EXHAUST,16,EXCESSIVE COMPLETE,S,9921135,46,30,0,0
C18H27NO3,HEAVENLY,18,COMPLETE,AA+,9649797,2,2,0,0
カラルの月 Verdammt Remix,EXHAUST,12,EXCESSIVE COMPLETE,AAA+,9844753,2,1,0,0
隅田川夏恋歌 (I/O Angel mix),EXHAUST,12,EXCESSIVE COMPLETE,S,9948186,1,1,0,0
Bad ∞ End ∞ Night,EXHAUST,13,ULTIMATE CHAIN,S,9944061,1,1,1,0
ラクガキスト,EXHAUST,16,EXCESSIVE COMPLETE,AA+,9676882,45,36,0,0
Lieselotte,EXHAUST,15,EXCESSIVE COMPLETE,S,9915897,9,8,0,0
ロストワンの号哭,EXHAUST,13,ULTIMATE CHAIN,S,9935163,6,5,1,0
